# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Galaxies within our survey boundaries without a measured redshift. Please observe them and let us know! Thanks!
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv r_iso r_ext  b/a  flgs  type  ts
04270415+2027093  66.76727  20.45259 176.31357 -19.38375  9.883 10.093 10.758  9.799  9.993 10.671 0.036 0.029 0.023 0.033 0.026 0.026 0.576 1.529 1.702 0.460 0000  0X   ZC
12525011-1018361 193.20883 -10.31006 303.49725  52.56010 10.410 10.676 11.359 10.305 10.436 11.168 0.046 0.028 0.021 0.046 0.027 0.028 0.041 1.449 1.692 0.300 0333  4    JH
03212772+4048059  50.36548  40.80168 151.24796 -13.67875 10.462 10.723 11.401 10.267 10.485 11.152 0.045 0.036 0.026 0.043 0.035 0.033 0.149 1.330 1.604 0.720 0331 -2    ZC
04194441+3557293  64.93507  35.95812 163.36200 -10.07978 10.618 10.896 11.647 10.521 10.790 11.529 0.046 0.038 0.030 0.042 0.038 0.034 0.588 1.356 1.556 0.420 0333  3    ZC
06341666-0915552  98.56966  -9.26544 219.28815  -7.99696 10.622 11.961 13.550 10.566 11.956 13.543 0.037 0.056 0.104 0.034 0.079 0.177 0.832 1.053 1.343 0.680 0333 98    NN
06010670+3342353  90.27802  33.70980 177.55162   5.26711 10.819 11.247 12.304 10.733 11.135 12.164 0.044 0.047 0.053 0.046 0.049 0.062 0.799 1.394 1.596 0.220 0000 98    NN
04301670+2326448  67.56960  23.44573 174.42603 -16.87470 10.857 11.029 11.807 10.698 10.819 11.617 0.063 0.039 0.036 0.056 0.038 0.040 0.900 1.297 1.526 0.600 0333  5    JH
17413903-0437191 265.41263  -4.62198  20.59406  13.25158 10.970 11.223 11.972 10.714 10.943 11.717 0.052 0.045 0.044 0.080 0.066 0.066 0.717 1.422 1.707 0.500 0111  7    ZC
08324123-5113345 128.17188 -51.22622 268.17825  -6.73042 10.995 11.237 12.090 10.776 11.035 11.920 0.069 0.051 0.056 0.064 0.056 0.072 0.960 1.243 1.526 0.720 0000 98    NN
07365795-4047484 114.24139 -40.79684 254.12871  -9.49531 11.005 11.153 11.870 10.886 10.960 11.604 0.070 0.041 0.037 0.064 0.039 0.037 0.672 1.179 1.419 0.720 0333 98    NN
07244714+1405193 111.19660  14.08878 203.90164  13.66018 11.031 11.368 12.270 10.968 11.152 12.082 0.039 0.030 0.027 0.036 0.028 0.030 0.126 1.017 1.301 0.960 0333  4    JH
14201250-6821596 215.05206 -68.36655 310.99527  -6.89564 11.064 11.002 11.734 10.892 10.810 11.563 0.047 0.027 0.031 0.066 0.036 0.042 0.513 1.352 1.509 0.440 0111 98    NN
18044513+1731392 271.18802  17.52752  43.84589  17.99977 11.102 11.377 12.122 10.922 11.194 11.956 0.057 0.042 0.031 0.051 0.045 0.037 0.120 1.281 1.542 0.540 0333 -1    JH
05272524+1612051  81.85517  16.20144 188.60564 -10.31789 11.107 11.403 12.143 11.019 11.311 12.080 0.059 0.036 0.036 0.055 0.038 0.043 0.615 1.318 1.525 0.420 0111  2    ZC
14593308-5154213 224.88797 -51.90596 322.14438   6.12193 11.123 11.367 12.108 10.687 11.359 11.769 0.090 0.077 0.074 0.114 0.166 0.130 0.584 1.270 1.708 0.780 0222 98    NN
