# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Additions to the input catalog -- galaxies reprocessed by Tom Jarrett. Corresponds to right half of Table A2 in paper.
#
#ID               RAdeg      DECdeg     l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs
00143062-0710026   3.62758  -7.16740  97.55114 -68.20032  9.976 10.295 11.002  9.687  9.993 10.682 0.029 0.025 0.021 0.057 0.046 0.035 0.034 1.529 1.876 0.810 Z000
00144460-0720430   3.68583  -7.34528  97.51025 -68.38673  8.758  9.030  9.720  8.560  8.822  9.507 0.019 0.017 0.016 0.030 0.024 0.021 0.037 1.721 2.022 0.680 Z000
00424586-2333418  10.69110 -23.56160  93.67414 -85.93068  9.959 10.323 11.113  9.889 10.275 10.968 0.019 0.018 0.018 0.030 0.028 0.025 0.019 1.338 1.708 0.780 Z000
00510186-0703249  12.75776  -7.05693 122.63767 -69.92841  9.401  9.554 10.215  9.223  9.397 10.046 0.020 0.017 0.016 0.035 0.023 0.020 0.056 1.486 1.814 1.000 Z111
00545031+2914474  13.70961  29.24649 123.82265 -33.61928 10.392 10.840 11.717 10.298 10.722 11.582 0.021 0.020 0.020 0.032 0.028 0.028 0.057 1.318 1.652 0.570 Z000
00564267-0954507  14.17781  -9.91407 127.31275 -72.74091  9.620  9.842 10.510  9.322  9.612 10.189 0.031 0.023 0.020 0.051 0.036 0.028 0.040 1.659 1.930 0.810 Z000
01025152-6536366  15.71465 -65.61015 301.03943 -51.47608  9.145  9.449 10.216  9.029  9.352 10.092 0.023 0.020 0.019 0.033 0.028 0.024 0.019 1.989 2.195 0.154 Z111
01243380+0143522  21.14082   1.73118 139.69655 -60.05790  8.772  9.125  9.769  8.484  8.902  9.503 0.022 0.022 0.018 0.046 0.048 0.033 0.032 1.756 2.095 0.950 Z000
01253140+0145325  21.38085   1.75903 140.14555 -59.96859  8.692  8.981  9.646  8.410  8.685  9.300 0.020 0.019 0.017 0.035 0.031 0.024 0.031 1.775 2.097 0.710 Z000
02251422-4025268  36.30923 -40.42410 253.42233 -66.52573 10.978 11.397 12.118 10.890 11.159 11.826 0.028 0.024 0.022 0.046 0.033 0.029 0.014 1.199 1.524 0.720 0111
02383278-0640392  39.63658  -6.67755 179.01845 -57.37140  8.645  8.890  9.551  8.429  8.670  9.309 0.019 0.017 0.016 0.037 0.026 0.022 0.026 1.718 2.066 0.890 Z111
03011417+4453500  45.30903  44.89721 145.80962 -12.13159  7.469  7.702  8.391  7.373  7.587  8.265 0.016 0.016 0.015 0.019 0.018 0.017 0.222 1.801 2.066 0.850 Z111
03053091+4250075  46.37880  42.83542 147.54695 -13.53742  8.525  8.785  9.476  8.427  8.685  9.363 0.017 0.017 0.016 0.023 0.020 0.019 0.137 1.881 2.099 0.380 Z111
03422931-1329174  55.62212 -13.48817 202.80278 -47.87971  8.563  8.836  9.500  8.485  8.747  9.379 0.018 0.016 0.016 0.025 0.020 0.018 0.068 1.985 2.204 0.242 Z000
03574243-4854305  59.42678 -48.90847 257.16623 -48.22923 10.422 10.651 11.210  9.816 10.073 10.652 0.043 0.031 0.026 0.061 0.043 0.035 0.006 1.623 1.930 0.610 Z111
03593747-6738062  59.90612 -67.63477 281.37106 -40.72667  8.657  8.941  9.602  8.605  8.905  9.550 0.020 0.015 0.011 0.023 0.018 0.013 0.062 2.022 2.157 0.360 0666
04042714-0211210  61.11308  -2.18917 193.06558 -37.55842  9.912 10.144 10.721  9.576  9.864 10.465 0.029 0.023 0.020 0.053 0.040 0.031 0.166 1.771 2.098 0.320 Z111
06054236-8637553  91.42652 -86.63202 299.20139 -27.74646  8.145  8.519  9.414  8.091  8.437  9.319 0.017 0.017 0.017 0.023 0.021 0.021 0.140 1.945 2.200 0.200 Z000
