# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries in original input catalogs that have been flagged but not rejected -- galaxies with suspect photometry due to stars. Targeted for reprocessing at a later date. Corresponds to Table A3 in paper.
#
#ID               RAdeg      DECdeg     l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv  r_iso r_ext  b/a  flgs
00364500+2133594   9.18755  21.56653 118.39338 -41.17567 10.465 10.807 11.521 10.407 10.764 11.478 0.046 0.033 0.024 0.042 0.032 0.026 0.034 1.436 1.622 0.460 0666
01310193+4903364  22.76186  49.05941 129.57878 -13.29994 11.680 12.013 12.751 11.678 12.013 12.748 0.053 0.046 0.038 0.085 0.030 0.151 0.152 1.403 1.575 0.220 0111
01595247-0705233  29.96768  -7.08696 165.07373 -64.20784 10.838 11.180 12.600 10.838 11.180 12.600 0.052 0.031 0.043 0.026 0.017 0.029 0.025 1.575 1.575 0.320 0004
02353199-0709366  38.88621  -7.15443 178.75160 -58.24991 11.172 11.438 11.961 11.172 11.438 11.961 0.089 0.053 0.033 0.046 0.031 0.021 0.028 1.746 1.746 0.180 0000
02352772-0921216  38.86555  -9.35601 181.95853 -59.69625  6.990  7.335  7.312  6.990  7.335  7.312 0.006 0.004 0.002 0.003 0.002 0.001 0.027 1.999 1.999 0.240 0666
02542739+4134467  43.61413  41.57961 146.33600 -15.63422  8.332  8.591  9.275  8.200  8.489  9.139 0.023 0.020 0.016 0.026 0.023 0.019 0.113 1.883 2.024 0.800 0666
02594211+3602171  44.92729  36.03589 150.11125 -19.97473 11.650 12.051 12.748 11.611 12.023 12.728 0.049 0.041 0.030 0.179 0.162 0.099 0.245 1.188 1.399 0.520 0111
03050558+4403167  46.27523  44.05528 146.84860 -12.52263 11.730 12.063 12.801 11.663 11.925 12.621 0.059 0.044 0.041 0.065 0.052 0.050 0.246 1.250 1.471 0.420 0000
03235400-3730449  50.97504 -37.51247 240.66127 -56.41727 11.490 11.670 12.389 11.490 11.670 12.389 0.082 0.053 0.043 0.046 0.032 0.028 0.024 1.569 1.569 0.500 0000
03252491-1613594  51.35371 -16.23392 204.00600 -52.77485 11.280 11.592 12.276 11.280 11.592 12.276 0.083 0.049 0.040 0.044 0.030 0.026 0.041 1.697 1.698 0.180 0000
03261474+3803504  51.56417  38.06500 153.63870 -15.40869 11.444 11.742 12.382 11.444 11.549 12.376 0.053 0.035 0.032 0.094 0.034 0.074 0.242 1.352 1.527 0.540 0000
03284660+3633226  52.19418  36.55637 154.97704 -16.34102 11.317 11.571 12.450 10.755 11.392 11.892 0.047 0.035 0.033 0.052 0.069 0.046 0.296 1.079 1.557 0.660 0333
03392830+1323417  54.86767  13.39305 173.47893 -32.52576 11.652 11.901 12.657 11.550 11.727 12.555 0.074 0.037 0.037 0.073 0.042 0.051 0.352 1.422 1.630 0.160 0000
03504306+7407352  57.68958  74.12666 134.46877  15.42245 11.678 11.808 12.453 11.673 11.805 12.453 0.082 0.056 0.039 0.182 0.145 0.027 0.264 1.407 1.583 0.340 0000
03582336-4428024  59.59150 -44.46652 250.54588 -48.99942  9.925 10.180 10.883  9.925 10.180 10.883 0.040 0.027 0.022 0.020 0.014 0.012 0.013 1.918 1.918 0.140 0000
04055073+3043032  61.46196  30.72069 165.02654 -15.84520 10.841 11.189 11.996 10.841 11.188 11.996 0.044 0.037 0.033 0.184 0.193 0.022 0.535 1.542 1.702 0.160 0111
04222904-5620157  65.62105 -56.33769 266.03494 -42.69120 11.057 11.386 12.067 10.601 10.929 11.644 0.099 0.068 0.055 0.101 0.080 0.073 0.021 1.473 1.870 0.280 0222
04531024+3423105  73.29381  34.38468 169.13258  -6.02055 10.084 10.314 11.061 10.023 10.239 10.985 0.029 0.025 0.025 0.027 0.024 0.028 0.969 1.626 1.804 0.200 0666
05100496-1456598  77.51854 -14.94696 215.62367 -29.05358 11.623 11.887 12.449 11.623 11.887 12.449 0.134 0.080 0.054 0.144 0.051 0.037 0.104 1.642 1.774 0.240 0000
05453957+5836099  86.41429  58.59941 154.07407  14.94918 11.633 11.944 12.514 11.627 11.942 12.514 0.064 0.049 0.036 0.135 0.064 0.025 0.283 1.375 1.541 0.260 0000
05495771+5023330  87.48783  50.39056 161.79964  11.59115 10.859 11.142 11.886 10.858 11.024 11.885 0.043 0.028 0.026 0.156 0.026 0.159 0.248 1.484 1.635 0.440 0300
06100970-3406499  92.53971 -34.10619 240.84521 -22.81285 11.598 11.820 12.399 11.598 11.820 12.399 0.065 0.034 0.028 0.037 0.021 0.018 0.033 1.522 1.522 0.120 0000
06413093+4010268 100.38458  40.16972 175.26859  15.35098 11.345 11.662 12.305 11.345 11.662 12.305 0.068 0.047 0.041 0.077 0.029 0.060 0.146 1.688 1.833 0.260 0222
07114179+4952003 107.92250  49.86194 167.38232  23.53230  9.632 10.928 11.608  9.632 10.928 11.608 0.034 0.074 0.046 0.017 0.040 0.027 0.067 1.722 1.722 0.500 0141
07351844-5014596 113.82687 -50.25002 262.61298 -14.02287 11.624 11.838 12.375 11.624 11.838 12.375 0.118 0.075 0.055 0.068 0.048 0.037 0.214 1.470 1.470 0.380 0222
09211152+6415117 140.29791  64.25166 149.78586  40.22099 11.242 11.468 12.156 11.056 11.312 12.016 0.058 0.038 0.029 0.050 0.039 0.032 0.055 1.566 1.761 0.280 0000
09275602+5722204 141.97392  57.37550 158.06609  43.37889 11.614 11.989 12.615 11.419 11.626 12.180 0.070 0.063 0.040 0.067 0.111 0.036 0.038 1.164 1.407 0.100 0000
09472014-3720443 146.82950 -37.34725 267.07462  12.39526 11.653 12.037 12.702 11.651 12.037 12.700 0.076 0.056 0.046 0.189 0.072 0.167 0.164 1.446 1.615 0.180 0111
