# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": 6dF redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        6dF_ID           6dF_V ERR 2MRS_V ERR CD 2MRS_BIBCODE
00010597-5359303|g0001060-535931|  9415| 45|  9423| 28|C |20112MRS.CTIO.0000H
00031064-5444562|g0003112-544458|  9790| 45|  9767| 24|C |20112MRS.CTIO.0000H
00042463-5257316|g0004247-525732|  9851| 45|  9814| 39|C |20112MRS.CTIO.0000H
00043594-4528463|g0004359-452846| 11794| 45| 11723| 31|C |20112MRS.CTIO.0000H
00045169-5429144|g0004517-542914| 10879| 45| 10908| 24|C |20112MRS.CTIO.0000H
00053994-5349010|g0005400-534901| 11028| 45| 11063| 24|C |20112MRS.CTIO.0000H
00055690-1359448|g0005569-135945|  5730| 45|  5751| 22|F |20112MRS.FLWO.0000H
00062990-5350042|g0006299-535004| 10768| 45| 10695| 29|C |20112MRS.CTIO.0000H
00073223-4849360|g0007323-484936| 10583| 45| 10500| 27|C |20112MRS.CTIO.0000H
00102524-5659209|g0010252-565921|  9640| 45|  9595| 39|C |20112MRS.CTIO.0000H
00112290-5657264|g0011229-565726|  9775| 45|  9809| 25|C |20112MRS.CTIO.0000H
00112521-4844004|g0011252-484401| 20622| 45| 20588| 38|C |20112MRS.CTIO.0000H
00154647-5913412|g0015465-591341|  9277| 45|  9208| 27|C |20112MRS.CTIO.0000H
00183335-0616195|g0018334-061619|  6660| 45|  6520| 22|F |20112MRS.FLWO.0000H
00190587-6123498|g0019059-612350|  4639| 45|  4607| 36|C |20112MRS.CTIO.0000H
00214374-6142399|g0021438-614240| 10029| 45| 10005| 40|C |20112MRS.CTIO.0000H
00231884-4349425|g0023188-434942| 10489| 45| 10575| 25|C |20112MRS.CTIO.0000H
00233691-4215167|g0023369-421517| 15778| 45| 15885| 45|C |20112MRS.CTIO.0000H
00260321-0720047|g0026032-072005| 15875| 31| 15914| 42|F |20112MRS.FLWO.0000H
00273423-3411496|g0027342-341150|  9098| 45|  9200| 71|C |20112MRS.CTIO.0000H
00333689-5248070|g0033369-524807| 14212| 45| 14258| 32|C |20112MRS.CTIO.0000H
00350169-0208294|g0035017-020830| 16494| 45| 16523| 28|F |20112MRS.FLWO.0000H
00351120-4359058|g0035112-435906|  7592| 45|  7600| 38|C |20112MRS.CTIO.0000H
00355084-5941379|g0035508-594138| 10133| 45| 10033| 34|C |20112MRS.CTIO.0000H
00362002-5911113|g0036200-591111|  8991| 45|  8807| 41|C |20112MRS.CTIO.0000H
00413983-4219154|g0041398-421916|  5964| 31|  5995| 26|C |20112MRS.CTIO.0000H
00504184-5213116|g0050419-521312|  7763| 45|  7813| 28|C |20112MRS.CTIO.0000H
00504652-2135137|g0050465-213514| 17267| 45| 17361| 50|C |20112MRS.CTIO.0000H
00510924-4606335|g0051092-460634|  9945| 45|  9914| 25|C |20112MRS.CTIO.0000H
00524245-5531260|g0052424-553126|  7167| 45|  7069| 19|C |20112MRS.CTIO.0000H
00541843-6153345|g0054184-615334|  8306| 45|  8318| 18|C |20112MRS.CTIO.0000H
00543280-2329415|g0054328-232942|  9900| 45|  9917| 53|C |20112MRS.CTIO.0000H
00553570-6018078|g0055357-601808|  8253| 45|  8328| 34|C |20112MRS.CTIO.0000H
00585613-1652072|g0058561-165208| 10945| 45| 10974| 34|C |20112MRS.CTIO.0000H
01013885-0611312|g0101389-061131|  5387| 45|  5721| 35|F |20112MRS.FLWO.0000H
01014201-4943180|g0101420-494318| 18548| 45| 18591| 42|C |20112MRS.CTIO.0000H
01021784-0613364|g0102178-061336| 12785| 45| 13028| 32|F |20112MRS.FLWO.0000H
01022194-0638459|g0102220-063846|  5275| 45|  5295| 28|F |20112MRS.FLWO.0000H
01042204-4316363|g0104220-431636|  8882| 45|  8829| 39|C |20112MRS.CTIO.0000H
01042484-4630073|g0104249-463007|  9266| 45|  9180| 24|C |20112MRS.CTIO.0000H
01045986-4604332|g0104599-460433|  8966| 45|  8960| 29|C |20112MRS.CTIO.0000H
01052329-0649056|g0105233-064906|  6958| 55|  6881| 34|F |20112MRS.FLWO.0000H
01052683-4212581|g0105268-421258|  9068| 45|  8959| 31|C |20112MRS.CTIO.0000H
01060259-7359526|g0106027-735952|  9941| 45| 10021| 19|C |20112MRS.CTIO.0000H
01062039-0611498|g0106204-061150| 12141| 45| 12249| 37|F |20112MRS.FLWO.0000H
01081173-0433164|g0108117-043316|  7826| 45|  7659| 29|F |20112MRS.FLWO.0000H
01084846-2510225|g0108485-251023| 17551| 31| 17580| 26|C |20112MRS.CTIO.0000H
01093909-6119597|g0109391-611960|  7800| 45|  7891| 32|C |20112MRS.CTIO.0000H
01120091-0544502|g0112009-054450|  8989| 45|  8663| 37|F |20112MRS.FLWO.0000H
01121710-0608527|g0112171-060853| 11248| 45| 11127| 40|F |20112MRS.FLWO.0000H
01145817-0739347|g0114582-073934|  5265| 45|  5341| 26|F |20112MRS.FLWO.0000H
01155228-0122063|g0115523-012207| 11491| 45| 11525| 21|F |20112MRS.FLWO.0000H
01165352-3452398|g0116535-345240| 19929| 45| 20057| 50|C |20112MRS.CTIO.0000H
01172381-1603446|g0117238-160345| 13426| 45| 13441| 40|C |20112MRS.CTIO.0000H
01180282-0134199|g0118028-013420| 11980| 45| 11921| 30|F |20112MRS.FLWO.0000H
01193329-1741357|g0119333-174136| 12593| 45| 12482| 27|C |20112MRS.CTIO.0000H
01194497-4334176|g0119450-433417|  6633| 45|  6743| 28|C |20112MRS.CTIO.0000H
01203134-0649257|g0120313-064926| 10850| 45| 10878| 28|F |20112MRS.FLWO.0000H
01204303-1443556|g0120431-144356| 11802| 45| 11836| 24|F |20112MRS.FLWO.0000H
