# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": NED redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
00023794+1638377|IC 5378 NED01                 |00h02m37.9s +16d38m38s|G     |  6350|  19|    |1999PASP..111..438F|   6352|  21|F |20112MRS.FLWO.0000H
00034964+0203594|2MASX J00034964+0203594       |00h03m49.7s +02d04m00s|G     | 29320|    |    |2000ApJS..129..547B|  28603|  30|F |20112MRS.FLWO.0000H
00065396+0821027|NGC 7838                      |00h06m54.0s +08d21m03s|G     | 11596|  52|    |1999PASP..111..438F|  11606|  32|F |20112MRS.FLWO.0000H
00163965+0136383|CGCG 382-039 NED02            |00h16m39.7s +01d36m39s|G     | 13407|  20|    |1996ApJS..105..209I|  13435|  30|F |20112MRS.FLWO.0000H
00213137+3804367|MCG +06-01-029                |00h21m31.4s +38d04m37s|G     | 10463| 300|    |1998A&AS..127..521W|  10498|  19|F |20112MRS.FLWO.0000H
00353909+2540425|CGCG 479-042                  |00h35m39.1s +25d40m43s|G     |  9844|  14|    |2009ApJS..183..214M|   9824|  30|F |20112MRS.FLWO.0000H
00373410+0933247|UGC 00373                     |00h37m34.1s +09d33m25s|G     | 12033|    |    |2005ApJS..160..149S|  12017|  44|F |20112MRS.FLWO.0000H
00395598+0650550|IC 1568                       |00h39m56.0s +06d50m55s|G     | 11998|  12|    |2000MNRAS.313..469S|  11956|  30|F |20112MRS.FLWO.0000H
00402804+0643114|IC 1569                       |00h40m28.0s +06d43m11s|G     | 11346|  10|    |2000MNRAS.313..469S|  11325|  29|F |20112MRS.FLWO.0000H
00425124-7958572|ESO 012- G 023                |00h42m51.3s -79d58m57s|G     |  4163| 250|    |2006MNRAS.366..267F|   7501|  57|C |20112MRS.CTIO.0000H
00524107-8351185|ESO 002- G 010                |00h52m41.1s -83d51m19s|G     |  4689|  20|    |2003AJ....126.2268W|   4766|  61|C |20112MRS.CTIO.0000H
00530553-0337456|2MASX J00530553-0337456       |00h53m05.6s -03d37m46s|G     | 15493|  27|    |2003AJ....126.2152R|  15500|  25|F |20112MRS.FLWO.0000H
00544941+1032160|UGC 00558                     |00h54m49.4s +10d32m16s|G     | 11923| 102|    |1995A&AS..109..537H|  11735|  36|F |20112MRS.FLWO.0000H
00560140-7430406|AM 0054-744 NED02             |00h56m01.4s -74d30m41s|G     | 10369|    |    |2001A&A...371..895D|  10228|  30|C |20112MRS.CTIO.0000H
00574786-0506435|NGC 0325                      |00h57m47.9s -05d06m43s|G     |  5487|   4|    |2005AJ....130.1037C|   5455|  36|F |20112MRS.FLWO.0000H
00591354-0222413|2MASX J00591354-0222413       |00h59m13.5s -02d22m42s|G     | 13353|  27|    |2003AJ....126.2152R|  13335|  20|F |20112MRS.FLWO.0000H
00595997-7957252|ESO 013- G 007                |01h00m00.0s -79d57m25s|G     |  7683| 200|    |2006MNRAS.366..267F|   7625|  26|C |20112MRS.CTIO.0000H
01013572-5312020|ESO 151- G 018                |01h01m35.7s -53d12m02s|G     |  7498|    |    |2006A&A...457..405C|   7457|  24|C |20112MRS.CTIO.0000H
01021735-1940087|ESO 541-IG 012 NED01          |01h02m17.4s -19d40m09s|G     | 16954|  10|    |1992A&AS...96..389d|  16970|  18|F |20112MRS.FLWO.0000H
01024825-0624419|MCG -01-03-075                |01h02m48.3s -06d24m42s|G     |  5773|  10|    |2005AJ....130.1037C|   5741|  18|F |20112MRS.FLWO.0000H
01085898+2144504|CGCG 459-008                  |01h08m59.0s +21d44m50s|G     | 16345|    |    |2001ApJ...560..566K|  16431|  38|F |20112MRS.FLWO.0000H
01091820+0234035|IC 1629                       |01h09m18.2s +02d34m03s|G     | 12536|  26|    |2003AJ....126.2152R|  12534|  36|F |20112MRS.FLWO.0000H
01102893+1611259|GIN 045                       |01h10m28.9s +16d11m25s|G     | 12380|  34|    |1999MNRAS.305..259W|  12432|  38|F |20112MRS.FLWO.0000H
01151176+0217230|2MASX J01151176+0217230       |01h15m11.8s +02d17m23s|G     | 13759|  35|    |2003AJ....126.2152R|  13727|  24|F |20112MRS.FLWO.0000H
01314889+1835498|LSBC F542-01                  |01h31m48.9s +18d35m50s|G     | 25200|    |    |1975Afz....11..377A|  12848|  26|F |20112MRS.FLWO.0000H
01444275+4244154|CGCG 537-022                  |01h44m42.8s +42d44m15s|G     | 15229|    |    |2001MNRAS.326.1585J|  15109|  23|F |20112MRS.FLWO.0000H
01541389+2539372|2MASX J01541389+2539372       |01h54m13.9s +25d39m37s|G     | 12589|  46|    |2009ApJS..183..214M|  12585|  28|F |20112MRS.FLWO.0000H
02013075+2628515|IC 0187                       |02h01m30.8s +26d28m51s|G     |  5152|  10|    |2008AJ....135..588S|   5131|  25|F |20112MRS.FLWO.0000H
02055478+5044156|UGC 01578                     |02h05m54.8s +50d44m16s|G     |  7794|    |    |1997AstL...23..638M|   7799|  23|F |20112MRS.FLWO.0000H
02055705-7107461|ESO 052- G 021                |02h05m57.0s -71d07m46s|G     |  8184|    |    |2006A&A...457..405C|   8148|  15|C |20112MRS.CTIO.0000H
02074246+7509407|MCG +12-03-002                |02h07m42.5s +75d09m41s|G     |  2569|    |    |1992NED11.R......1N|   2846|  38|F |20112MRS.FLWO.0000H
02143587-0718364|MCG -01-06-078                |02h14m35.9s -07d18m36s|G     | 12685|  11|    |2005AJ....130.1037C|  12642|  29|F |20112MRS.FLWO.0000H
02244728+4140526|UGC 01858                     |02h24m47.3s +41d40m52s|G     |  5304|    |    |1988MNRAS.232..381M|   5756|  38|F |20112MRS.FLWO.0000H
02393445-7626500|FAIRALL 1241                  |02h39m34.5s -76d26m50s|G     | 17288| 162|    |2006MNRAS.366..267F|  17298|  48|C |20112MRS.CTIO.0000H
02411798-7807422|ESO 014- G 004                |02h41m18.0s -78d07m42s|G     | 16064|    |    |2001ApJ...552L..23D|  16095|  67|C |20112MRS.CTIO.0000H
02470097+1452437|LSBC F615-02                  |02h47m01.0s +14d52m44s|G     |  7596|    |    |1992NED11.R......1N|   7440|  30|F |20112MRS.FLWO.0000H
02482906+4759353|UGC 02273                     |02h48m29.1s +47d59m35s|G     |  7400|  50|    |1997ApJS..112..245N|   7419|  17|F |20112MRS.FLWO.0000H
02535064+0839375|2MASX J02535064+0839375       |02h53m50.7s +08d39m37s|G     | 15373|  26|    |2004ApJ...607..202M|  15342|  31|F |20112MRS.FLWO.0000H
02551076+0920128|UGC 02386                     |02h55m10.8s +09d20m13s|G     |  8115|  23|    |2004ApJ...607..202M|   8171|  36|F |20112MRS.FLWO.0000H
02555424+1014243|2MASX J02555424+1014243       |02h55m54.3s +10d14m24s|G     |  7632|  25|    |2004ApJ...607..202M|   7686|  39|F |20112MRS.FLWO.0000H
02560584+0922433|IC 1868                       |02h56m05.9s +09d22m44s|G     |  7906|  26|    |2004ApJ...607..202M|   7927|  44|F |20112MRS.FLWO.0000H
03074789+4122308|2MASX J03074789+4122308       |03h07m47.9s +41d22m31s|G     |  6625|  60|    |2001ApJS..134..355M|   6549|  25|F |20112MRS.FLWO.0000H
03100841+4249488|2MASX J03100841+4249488       |03h10m08.4s +42d49m49s|G     |  9204|  60|    |2001ApJS..134..355M|   9119|  24|F |20112MRS.FLWO.0000H
