# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/O": NED entries attributed to 2008ApJ...685.1320C, listed here with 2MRS information or proper bibliographic reference and uncertainty in redshift (when available)
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE          COMMENT
01014431-5152080|ESO_195-_G_024                |01h01m44.3s -51d52m08s|G     |  7570|    |    |2008ApJ...685.1320C|   7570|   0|O |1988cgsd.book.....F / 
02013098-2455296|2MASX_J02013098-2455296       |02h01m31.0s -24d55m30s|G     |  4233|    |    |2008ApJ...685.1320C|   4233|  47|O |1998AJ....116....1D / 
02113142+7046204|2MASX_J02113142+7046204       |02h11m31.4s +70d46m21s|G     |  3223|    |    |2008ApJ...685.1320C|   3223|  51|F |20112MRS.FLWO.0000H / 
02311342+4320195|UGC_01987                     |02h31m13.4s +43d20m20s|G     |  6445|    |    |2008ApJ...685.1320C|   6445| 300|O |1999MNRAS.308..897L / 
02501220+4703160|2MASX_J02501220+4703160       |02h50m12.2s +47d03m16s|G     |  8405|    |    |2008ApJ...685.1320C|   8405|  50|O |1997ApJS..112..245N / 
02515425+0746538|CGCG_415-017                  |02h51m54.3s +07d46m54s|G     |  7808|    |    |2008ApJ...685.1320C|   7808|  60|O |20112MRS.JPH..0000H / 
02540071+1336438|I_Zw_010_NOTES02              |02h54m00.7s +13d36m44s|G     |  9873|    |    |2008ApJ...685.1320C|   9873|  42|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T21552
02540195+1149466|CGCG_440-031_NED01            |02h54m01.9s +11d49m47s|G     |  7632|    |    |2008ApJ...685.1320C|   7632|  39|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T15706
03004579+4427071|UGC_02468                     |03h00m45.8s +44d27m07s|G     |  9050|    |    |2008ApJ...685.1320C|   9050|  76|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T26869
03005590+4421014|IC_0275_NED02                 |03h00m55.9s +44d21m01s|G     |  9736|    |    |2008ApJ...685.1320C|   9736|  38|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T18175
03092430+1606561|ARK_097                       |03h09m24.3s +16d06m56s|G     |  9880|    |    |2008ApJ...685.1320C|   9880|  57|O |20112MRS.MMT..0000H / SAO/TDC spectral archive #M09252
03102361+4225009|CGCG_540-051                  |03h10m23.6s +42d25m01s|G     |  5613|    |    |2008ApJ...685.1320C|   5613|  34|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T04061
03230158+0827045|2MASX_J03230158+0827045       |03h23m01.6s +08d27m05s|G     |  7218|    |    |2008ApJ...685.1320C|   7218|  37|O |20112MRS.MMT..0000H / SAO/TDC spectral archive #M09290
03234832+4033485|2MASX_J03234832+4033485       |03h23m48.3s +40d33m48s|G     |  5388|    |    |2008ApJ...685.1320C|   5388|  29|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T04069
03283026+3641007|UGC_02746_NOTES02             |03h28m30.3s +36d41m01s|G     |  4819|    |    |2008ApJ...685.1320C|   4819|  44|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T20269
03344739+3612356|UGC_02788                     |03h34m47.4s +36d12m35s|G     |  4574|    |    |2008ApJ...685.1320C|   4574| 102|O |1993AJ....105.1251W / 
03393051+1011221|2MASX_J03393051+1011221       |03h39m30.5s +10d11m22s|G     |  6714|    |    |2008ApJ...685.1320C|   6714|  39|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T08015
03473664-0816096|2MASX_J03473664-0816096       |03h47m36.6s -08d16m10s|G     | 10044|    |    |2008ApJ...685.1320C|  10044|  50|O |1998AJ....116....1D / 
