# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc. This is *not* a complete list for the "extra" sample.
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs type  ts
00280240-0807146   7.01001  -8.12072 105.60218 -70.20120 11.899 12.259 12.956 11.628 11.866 12.469 0.103 0.076 0.053 0.101 0.074 0.050 0.045 1.201 1.471 0.680 0111 25    ZC
00385855+5927568   9.74384  59.46571 121.34684  -3.36754 10.921 11.503 12.275 10.425 11.503 11.451 0.064 0.074 0.080 0.056 0.049 0.072 1.041 1.246 1.626 0.800 0141 25    ZC
00483297-3236378  12.13749 -32.61056 309.26984 -84.48211 13.470 13.601 14.533 12.990 13.495 14.254 0.156 0.121 0.106 0.185 0.193 0.140 0.015 0.886 1.163 1.000 0000 25    ZC
01010569+5804266  15.27362  58.07404 124.21274  -4.77355 10.173 10.232 10.732 10.171 10.232 10.730 0.016 0.011 0.009 0.034 0.018 0.017 0.485 1.290 1.475 0.340 0333 25    ZC
01071029-2241274  16.79285 -22.69099 162.57732 -84.30750 12.960 13.298 14.060 12.695 12.904 13.861 0.096 0.073 0.059 0.121 0.085 0.083 0.026 0.914 1.239 0.760 0000 25    ZC
01113752-3148168  17.90640 -31.80476 260.93210 -83.58492 13.395 13.897 14.497 13.139 13.860 14.407 0.110 0.088 0.070 0.151 0.156 0.106 0.031 0.851 1.104 0.760 0000 25    ZC
01132295-3301063  18.34554 -33.01827 265.40552 -82.43778 13.678 13.984 14.968 13.240 13.939 14.896 0.124 0.086 0.088 0.161 0.164 0.164 0.024 0.869 1.246 0.620 0000 25    ZC
01173664+5959488  19.40245  59.99702 126.20202  -2.70832 10.528 10.696 11.341 10.409 10.641 11.201 0.043 0.035 0.031 0.038 0.036 0.034 0.729 1.215 1.444 0.800 0333 25    ZC
01181572-3435554  19.56545 -34.59882 266.99036 -80.57464 13.295 14.062 14.564 13.086 14.062 14.067 0.127 0.122 0.089 0.181 0.229 0.096 0.024 1.000 1.263 0.680 0313 25    ZC
01184023-0006304  19.66766  -0.10849 137.65634 -62.19913 13.248 13.614 14.346 13.007 13.359 14.093 0.089 0.073 0.062 0.121 0.103 0.082 0.033 0.875 1.208 0.760 0333 25    ZC
01584449+1427080  29.68547  14.45216 146.42842 -45.32677 13.376 14.045 14.974 13.079 13.949 14.929 0.128 0.102 0.113 0.174 0.174 0.201 0.052 0.964 1.248 0.520 0000 25    ZC
02103382-3357072  32.64101 -33.95193 239.62219 -71.68665 13.144 13.565 14.111 13.023 13.451 13.948 0.087 0.075 0.053 0.126 0.115 0.070 0.013 0.792 1.064 0.800 0000 25    ZC
02232888-3133290  35.87023 -31.55805 230.92029 -69.49973 13.292 13.666 14.197 13.016 13.554 14.076 0.107 0.074 0.061 0.147 0.121 0.089 0.018 0.982 1.322 0.500 0000 25    ZC
02235968-2927425  35.99881 -29.46173 224.92046 -69.52612 11.933 12.169 12.836 11.760 12.078 12.557 0.075 0.046 0.032 0.076 0.054 0.034 0.021 1.076 1.347 0.520 0000 25    ZC
02244454-4459490  36.18589 -44.99679 262.88873 -64.20047 12.481 12.726 13.390 12.335 12.484 13.066 0.056 0.037 0.032 0.070 0.044 0.036 0.017 0.914 1.282 0.580 0000 25    ZC
02313738+6502542  37.90567  65.04843 133.24765   4.20284  9.895 10.033 10.712  9.713  9.789 10.568 0.033 0.029 0.026 0.034 0.027 0.032 1.217 1.283 1.562 0.860 0111 25    ZC
02422187+6254033  40.59086  62.90100 135.18355   2.69845  8.606  8.627  8.791  8.343  8.366  8.652 0.038 0.045 0.033 0.039 0.046 0.040 2.085 1.733 1.957 0.620 0222 25    ZC
02443917-3509464  41.16324 -35.16302 238.36618 -64.58173 13.202 13.993 14.218 13.202 13.993 14.218 0.146 0.143 0.084 0.130 0.143 0.073 0.022 1.137 1.137 0.520 0000 25    ZC
03114633-3034248  47.94324 -30.57360 227.80507 -59.20147 13.349 13.908 14.487 13.244 13.647 14.267 0.100 0.090 0.073 0.157 0.129 0.098 0.014 0.785 1.053 0.780 0000 25    ZC
03334123-3142407  53.42209 -31.71111 230.30885 -54.57386 13.580 13.855 14.441 13.115 13.580 14.256 0.075 0.055 0.041 0.095 0.089 0.277 0.013 0.724 1.013 0.580 0000 25    ZC
03342410-4418370  53.60032 -44.31026 251.65692 -53.22987 12.987 13.438 14.161 12.863 13.348 13.995 0.090 0.081 0.065 0.123 0.123 0.089 0.010 1.061 1.325 0.640 0000 25    ZC
03394585-4006104  54.94092 -40.10286 244.45662 -53.03180 13.497 13.976 14.750 13.092 13.543 14.425 0.088 0.080 0.076 0.133 0.115 0.115 0.013 0.799 1.252 0.780 0000 25    ZC
03541050-4236425  58.54367 -42.61179 247.88728 -50.02282 12.572 12.886 13.736 12.450 12.616 13.512 0.085 0.060 0.054 0.102 0.067 0.064 0.009 0.940 1.193 0.880 0000 25    ZC
03573762+4917166  59.40670  49.28794 151.23810  -3.07296 10.798 10.853 11.281 10.637 10.853 11.150 0.060 0.041 0.034 0.054 0.025 0.039 1.262 1.398 1.617 0.280 0313 25    ZC
04073634-2125519  61.90141 -21.43108 216.75305 -45.20757 12.651 12.692 13.330 12.552 12.449 12.992 0.099 0.052 0.042 0.119 0.055 0.042 0.038 0.959 1.107 0.680 0000 23    ZC
04274963+5343076  66.95683  53.71888 151.62737   3.36804 11.122 11.356 11.758 11.022 11.268 11.563 0.055 0.050 0.040 0.055 0.059 0.045 1.374 1.045 1.321 1.000 0000 25    ZC
05402025+2500485  85.08402  25.01370 182.72096  -3.06169 10.915 12.217 13.572 10.861 12.213 13.261 0.024 0.041 0.060 0.030 0.078 0.098 0.869 0.892 1.367 0.680 0030 25    ZC
06175130-5924541  94.46392 -59.41507 268.42819 -27.30084 12.612 12.986 13.631 12.491 12.834 13.493 0.086 0.070 0.054 0.106 0.090 0.069 0.041 0.968 1.246 0.880 0000 25    ZC
