# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries in original input catalogs that have been rejected -- Galactic sources, pieces of galaxies, artifacts, etc. Corresponds to Table A1 in paper.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs Comments
00031127-5444588   0.796456 -54.749447 317.341980 -61.008236 10.345 10.644 11.311 10.171 10.521 11.137 0.045 0.034 0.023 0.042 0.033 0.026 0.013 1.401 1.637 0.700 0000 Piece of galaxy 00031064-5444562
00240535-7204531   6.022330 -72.081444 305.895355 -44.889076  1.554  1.767  2.303  1.543  1.756  2.289 0.015 0.015 0.015 0.015 0.015 0.015 0.032 2.591 2.759 1.000 Z000 Globular cluster in SMC
00255209-0939420   6.467057  -9.661720 102.671875 -71.520531 11.735 12.005 12.702 11.509 11.647 12.671 0.087 0.063 0.042 0.083 0.058 0.057 0.045 1.281 1.581 0.560 0666 Piece of galaxy 00255246-0939427
00265282-7132113   6.719913 -71.536461 305.699860 -45.459538 11.323 11.589 11.737 11.323 11.589 11.737 0.121 0.087 0.035 0.064 0.052 0.021 0.033 1.534 1.534 0.740 0666 Globular cluster in SMC
00364578+2134078   9.190726  21.568726 118.397522 -41.173698 10.940 11.247 11.972 10.826 11.236 11.821 0.045 0.044 0.028 0.041 0.051 0.029 0.034 1.562 1.731 0.240 0222 Piece of galaxy 00364500+2133594
00460635-0143434  11.526516  -1.728643 119.828026 -64.568207 11.440 11.741 12.348 11.440 11.741 12.348 0.083 0.054 0.036 0.046 0.033 0.024 0.027 1.435 1.434 0.400 0222 Piece of galaxy 00460539-0143242
00520075+6821243  13.003078  68.356667 122.985130   5.485120 11.459 11.726 12.408 11.359 11.633 12.273 0.066 0.059 0.053 0.067 0.069 0.065 0.907 1.173 1.418 0.440 0333 Image flaw
00523957-2637338  13.164923 -26.625999 151.475372 -89.428619  9.949  9.370 10.901  9.949  9.370 10.901 0.091 0.044 0.050 0.045 0.022 0.028 0.013 1.894 1.894 0.360 0212 Star cluster (NGC 288)
00524844-2637078  13.201832 -26.618832 153.947418 -89.406075 10.972 10.636 11.818 10.972 10.636 11.818 0.105 0.059 0.046 0.052 0.030 0.028 0.012 1.627 1.627 0.320 0111 Star cluster (NGC 288)
00525061-2635148  13.210793 -26.587456 153.102539 -89.374962  8.423  8.037  9.316  8.423  8.037  9.316 0.051 0.028 0.029 0.026 0.014 0.014 0.012 2.001 2.001 0.380 0111 Star cluster (NGC 288)
00525389-2635418  13.224545 -26.594919 154.421341 -89.375107 10.333  9.876 11.363 10.333  9.876 11.363 0.087 0.045 0.048 0.044 0.043 0.028 0.012 1.791 1.907 0.340 0222 Star cluster (NGC 288)
00584209+5628334  14.675556  56.475990 123.941048  -6.381392 10.355 11.238 12.205 10.043 10.861 11.929 0.045 0.066 0.062 0.055 0.083 0.096 0.538 1.412 1.753 0.660 0113 Image flaw
01024864-0624482  15.702662  -6.413338 130.877502 -69.109413 11.344 11.710 12.390 11.250 11.577 12.254 0.069 0.038 0.032 0.062 0.039 0.035 0.122 1.455 1.639 0.300 0666 Piece of galaxy 01024825-0624419
01081982-7252599  17.082254 -72.883286 301.199982 -44.188084  8.547  8.661  9.318  8.547  8.550  9.131 0.025 0.018 0.014 0.013 0.022 0.016 0.102 1.751 1.964 0.800 0111 Star cluster in SMC (NGC 419)
01240782-7309037  21.032909 -73.151115 299.660675 -43.768841 10.864 11.550 11.876 10.558 11.482 11.627 0.041 0.043 0.021 0.056 0.086 0.036 0.228 1.212 1.689 0.940 0333 HII region in SMC
01244565+0959356  21.190176   9.993226 136.335617 -52.009117 10.321 10.539 11.270 10.249 10.379 11.058 0.034 0.021 0.016 0.033 0.021 0.019 0.086 1.458 1.671 0.160 0666 Piece of galaxy 01244588+0959403
01244585+0959406  21.191038   9.994645 136.336487 -52.007553  9.409  9.682 10.442  9.409  9.682 10.442 0.022 0.015 0.013 0.011 0.007 0.007 0.086 1.909 1.909 0.200 0666 Piece of galaxy 01244588+0959403
01500012+5354469  27.500463  53.913048 131.578125  -7.972534 10.390 11.087 11.827  9.927 10.650 11.615 0.049 0.067 0.052 0.065 0.101 0.108 0.434 1.456 1.864 0.440 0111 Image flaw
01533610+4357488  28.400396  43.963539 134.597687 -17.495476 11.494 11.866 12.490 11.311 11.733 12.209 0.063 0.057 0.038 0.057 0.061 0.038 0.066 1.248 1.472 0.640 0111 Piece of galaxy 01533629+4357558
01550198-2600581  28.758250 -26.016130 212.062960 -75.746730 11.724 12.600 13.004 11.724 12.600 13.004 0.418 0.419 0.248 0.244 0.306 0.178 0.012 1.775 1.775 1.000 0666 Piece of galaxy 01545983-2601101
02041855+2839171  31.077297  28.655008 141.710449 -31.545584 10.960 11.292 11.982 10.863 11.165 11.851 0.050 0.032 0.023 0.043 0.030 0.024 0.063 1.228 1.457 0.840 0000 Piece of galaxy 02041854+2839224
02115327+7026364  32.971748  70.443489 129.617386   8.623237 11.454 12.071 13.132 11.330 12.054 12.970 0.088 0.085 0.079 0.079 0.100 0.091 0.946 1.354 1.554 0.420 0661 Piece of galaxy 02115039+7026384
02175760+1433128  34.490040  14.553516 152.304520 -43.329033 10.624 10.701 11.501 10.624 10.701 11.501 0.088 0.040 0.037 0.044 0.020 0.022 0.113 1.559 1.558 0.280 0666 Piece of galaxy 02175963+1432387
02213358+7038115  35.389595  70.636612 130.323593   9.069452 11.485 11.866 12.746 11.379 11.456 12.322 0.068 0.064 0.048 0.066 0.054 0.044 0.964 1.204 1.434 0.860 0111 Piece of galaxy 02213090+7038118
02224353+4225299  35.681389  42.424961 140.385162 -17.331861 11.337 12.304 12.131 11.337 12.304 12.131 0.115 0.178 0.052 0.116 0.225 0.033 0.065 1.772 1.906 0.160 0333 Piece of galaxy 02223290+4220539
02351028+2051182  38.792778  20.855045 153.207565 -35.845333 11.425 11.819 12.349 10.890 11.183 11.896 0.105 0.079 0.053 0.070 0.055 0.045 0.132 1.417 1.603 0.360 0111 Piece of galaxy 02351012+2051052
02352867-0921306  38.869431  -9.358526 181.967194 -59.694885 10.149 10.388 11.005 10.149 10.388 11.005 0.048 0.031 0.020 0.024 0.016 0.011 0.027 1.747 1.748 0.540 0666 Piece of galaxy 02352772-0921216
02400769-3432105  40.032116 -34.536274 237.299347 -65.607742 11.560 11.805 12.192 11.520 11.772 12.057 0.058 0.039 0.021 0.060 0.045 0.023 0.023 0.996 1.285 0.820 0000 Star cluster in Fornax Dwarf Irr
02480619-1357272  42.025871 -13.957579 192.974518 -59.789661 10.622 10.923 11.584 10.505 10.830 11.452 0.049 0.030 0.022 0.042 0.028 0.022 0.024 1.436 1.626 0.600 0666 Piece of galaxy 02480598-1357332
02543312+4135059  43.638046  41.584969 146.349747 -15.621040  9.670  9.975 10.763  9.670  9.975 10.763 0.063 0.057 0.046 0.031 0.029 0.025 0.115 1.868 1.868 0.420 0666 Piece of galaxy 02542739+4134467
02570697+1731116  44.279137  17.519896 160.813950 -35.943775 10.795 11.056 11.881 10.795 11.056 11.881 0.057 0.042 0.031 0.028 0.023 0.019 0.191 1.509 1.509 0.360 0262 Piece of galaxy 02570755+1730514
02580958+0321332  44.539982   3.359268 172.957672 -46.831917 10.713 11.023 11.692 10.712 10.860 11.570 0.057 0.049 0.032 0.071 0.044 0.031 0.125 1.483 1.631 0.540 0111 Piece of galaxy 02581028+0321429
02594195+3849571  44.924747  38.832561 148.637497 -17.553423 11.423 12.215 13.670 11.416 12.215 13.667 0.105 0.108 0.133 0.110 0.073 0.203 0.089 1.365 1.534 0.420 0222 Image flaw
03011363+4453125  45.306793  44.886917 145.813339 -12.141339  9.206  9.490  9.363  9.206  9.490  9.363 0.028 0.023 0.009 0.014 0.011 0.004 0.219 1.594 1.594 0.520 0222 Piece of galaxy 03011417+4453500
03052888+3347421  46.370213  33.794895 152.430664 -21.287292 11.638 11.947 12.684 11.526 11.901 12.603 0.065 0.051 0.042 0.064 0.060 0.051 0.301 1.299 1.509 0.280 0000 Piece of galaxy 03052855+3347369
03054653+0404325  46.443863   4.075588 174.224777 -45.002758 11.219 12.181 13.715 11.084 12.181 13.559 0.053 0.049 0.078 0.048 0.033 0.101 0.121 1.336 1.544 0.100 0550 Image flaw
03060493-1536318  46.520481 -15.608930 199.645096 -56.734486  9.051  9.259  9.940  9.051  9.259  9.940 0.029 0.017 0.014 0.014 0.008 0.007 0.037 1.770 1.770 0.500 0222 Piece of galaxy 03060302-1536405
03060656+4221569  46.527275  42.365803 147.888947 -13.886843 10.474 10.810 11.534 10.232 10.631 11.227 0.042 0.032 0.026 0.040 0.036 0.028 0.164 1.417 1.685 0.380 0133 Piece of galaxy 03060989+4222189
03122133-5512149  48.088608 -55.204155 270.511566 -52.120914 11.396 11.582 11.737 11.395 11.582 11.737 0.115 0.070 0.036 0.115 0.042 0.022 0.014 1.456 1.610 0.340 0666 Globular cluster in MW (NGC 1261)
03130674+2837586  48.278084  28.632961 156.984894 -24.713560 11.273 11.626 12.324 11.105 11.447 12.135 0.066 0.048 0.037 0.058 0.048 0.040 0.317 1.276 1.494 0.800 0111 Piece of galaxy 03130666+2838056
03171816+3813062  49.325760  38.218506 152.039062 -16.273352 11.678 11.965 12.591 11.678 11.965 12.591 0.072 0.053 0.044 0.043 0.036 0.031 0.340 1.403 1.403 0.240 0000 Image flaw
03205285+3815118  50.220203  38.253410 152.626419 -15.853551 11.474 11.677 12.292 10.937 11.337 12.044 0.093 0.067 0.051 0.106 0.099 0.087 0.247 1.352 1.822 0.860 0166 Piece of galaxy 03205179+3815145
03235432-3730243  50.976376 -37.506783 240.650833 -56.416885 11.356 11.474 12.149 11.356 11.474 12.149 0.088 0.053 0.042 0.047 0.031 0.027 0.024 1.483 1.483 0.620 0222 Piece of galaxy 03235400-3730449 
03252513-1613416  51.354782 -16.228291 203.999146 -52.772064 11.260 11.620 12.258 11.260 11.620 12.258 0.091 0.055 0.044 0.048 0.033 0.028 0.041 1.794 1.795 0.107 0000 Piece of galaxy 03252491-1613594
03284709+3633086  52.196320  36.552429 154.980896 -16.343197 11.594 11.777 12.711 11.153 11.161 12.099 0.072 0.051 0.051 0.076 0.052 0.057 0.294 1.567 1.930 0.120 0222 Piece of galaxy 03284660+3633226 
03303609-1756222  52.650356 -17.939615 207.377853 -52.284260 11.019 11.206 11.939 10.736 11.206 11.642 0.100 0.063 0.041 0.087 0.035 0.043 0.038 1.480 1.727 0.680 0000 Piece of galaxy 03303589-1756289
03414562+4352582  55.440033  43.882896 152.519150  -8.989005 11.277 12.458 13.960 11.087 12.431 13.924 0.046 0.071 0.111 0.056 0.139 0.254 0.518 1.152 1.581 0.680 0111 Star
03422921-1328208  55.621731 -13.472465 202.781433 -47.873230 10.491 10.669 11.348 10.314 10.495 11.165 0.054 0.030 0.021 0.047 0.026 0.021 0.068 1.398 1.616 0.780 0000 Piece of galaxy 03422928-1329168 
03490433-4851278  57.268036 -48.857788 257.651642 -49.613411 11.244 11.366 12.152 11.244 11.366 12.152 0.103 0.063 0.049 0.054 0.036 0.031 0.010 1.438 1.437 0.720 0616 Piece of galaxy 03490774-4851294
03554380-4222233  58.932610 -42.373150 247.462982 -49.768867 10.766 10.984 11.568 10.766 10.984 11.568 0.070 0.049 0.033 0.067 0.026 0.039 0.012 1.684 1.809 0.220 0111 Piece of galaxy 03554474-4222024
03562202+3352292  59.091736  33.874912 161.277618 -14.890846 11.444 12.195 12.253 11.420 12.134 12.217 0.031 0.030 0.017 0.032 0.038 0.020 0.247 0.929 1.212 0.800 0033 Planetary nebula
03571019-2852351  59.292404 -28.876463 226.626465 -49.228615  9.866 10.122 10.833  9.796 10.007 10.768 0.032 0.023 0.017 0.035 0.021 0.020 0.009 1.597 1.767 0.240 0000 Piece of galaxy 03570996-2852451
03574379-4854581  59.432514 -48.916138 257.176025 -48.223721 10.947 10.993 11.832 10.945 10.993 11.832 0.110 0.058 0.051 0.107 0.060 0.031 0.006 1.452 1.605 1.000 0000 Piece of galaxy 03574243-4854305
03582180-4427585  59.590908 -44.466251 250.545227 -49.004105 10.184 10.508 11.210 10.082 10.508 11.143 0.038 0.027 0.021 0.040 0.013 0.026 0.013 1.831 1.985 0.200 0666 Piece of galaxy 03582336-4428024
03593698-6738033  59.904129 -67.634277 281.371063 -40.726665  8.657  8.941  9.602  8.605  8.905  9.550 0.020 0.015 0.011 0.023 0.018 0.013 0.062 2.022 2.157 0.360 0666 Piece of galaxy 03593747-6738062
