# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "O": NED entries with cz, superceded by ZCAT entries (either published measurements or Huchra's earlier unpublished observations).  Contents presented in Table A5 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE          COMMENT
00344891+0727013|CGCG 409-040                  |00h34m48.9s +07d27m01s|G     |   555|  10|    |1993ApJS...88..383L|   5205|  28|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T26890
00544855+1150280|IC 0057                       |00h54m48.5s +11d50m28s|G     | 11425| 408|    |1995A&AS..109..537H|  11852|  51|O |20112MRS.MMT..0000H / SAO/TDC spectral archive #M09249
01193495+3210495|CGCG 502-027 NED02            |01h19m35.0s +32d10m50s|G     | 17568| 210|    |1970PASP...82.1374v|  17902|  40|O |20112MRS.JPH..0000H / 
01465644+3206354|CGCG 503-023                  |01h46m56.4s +32d06m35s|G     | 10505|  10|    |1991RC3.9.C...0000d|  14700|  43|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T26803 
01532586+7115067|2MASX J01532586+7115067       |01h53m25.9s +71d15m06s|G     |  6595| 300|    |1996MNRAS.281..425M|   6838|  38|O |20112MRS.JPH..0000H / 
01541714+3418581|V Zw 137 NOTES03              |01h54m17.1s +34d18m58s|G     | 25752|  60|    |2001ApJS..134..355M|  25033|  22|O |20112MRS.FLWO.0000H / Observed for another project on 1994-01-19 
02051713+3447192|KUG 0202+345                  |02h05m17.1s +34d47m20s|G     |  4419|   4|    |1997AJ....113.1197H|  11909|  48|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T21575
02080351+2021204|MRK 1173                      |02h08m03.5s +20d21m20s|G     |  8244|    |    |1992NED11.R......1N|   8231|   0|O |1980Ap.....16....1M /
02254561+2713160|NGC 0915                      |02h25m45.6s +27d13m16s|G     |  4399|  20|    |1999PASP..111..438F|   9666|  25|O |1999PASP..111..438F / SAO/TDC spectral archive #Typo when entering cz in NED?
02422903+1809528|ARK 090                       |02h42m29.0s +18d09m53s|G     |  9508|   5|    |1993AJ....105.1271G|   7770|  35|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T17131 ; strong H-alpha
02462037+4457078|UGC 02233                     |02h46m20.4s +44d57m08s|G     |  5603|  11|    |1998A&AS..130..333T|   7338|  50|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T24859 
02503539+1603253|CGCG 463-026                  |02h50m35.4s +16d03m26s|G     | 15331|  20|    |1993AJ....105.1271G|   9603|  48|O |20112MRS.ZMA..0000H / SAO/TDC spectral archive #T24777
