# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": SDSS DR8 redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        SDSS_ID          SDSS_V ERR 2MRS_V ERR CD 2MRS_BIBCODE
00164632+0112373|00164629+0112372| 13207|  3| 13198| 30|F |20112MRS.FLWO.0000H
00562074+1351434|00562078+1351438| 11934|  5| 11941| 39|F |20112MRS.FLWO.0000H
01131565+1530593|01131568+1530592| 14069|  2| 14118| 26|F |20112MRS.FLWO.0000H
01562375-0937359|01562378-0937361| 15852|  4| 15896| 52|C |20112MRS.CTIO.0000H
02031600+0017554|02031602+0017557| 12829|  3| 12892| 26|F |20112MRS.FLWO.0000H
02034927-0807434|02034930-0807441| 12363|  2| 12402| 38|C |20112MRS.CTIO.0000H
02040591-0807304|02040591-0807302|  9968|  3|  9871| 32|C |20112MRS.CTIO.0000H
02061636-0958506|02061636-0958507| 14763|  3| 14707| 44|C |20112MRS.CTIO.0000H
02083580-0837551|02083581-0837550| 10221|  2| 10191| 79|C |20112MRS.CTIO.0000H
02131090+1401048|02131092+1401050|  7812|  2|  7815| 31|F |20112MRS.FLWO.0000H
02214051+0015188|02214052+0015189|  7488|  2|  7464| 28|F |20112MRS.FLWO.0000H
02364887-0859267|02364887-0859266| 12708|  2| 12550| 30|C |20112MRS.CTIO.0000H
02385141+0030313|02385140+0030313| 14145|  3| 14180| 29|F |20112MRS.FLWO.0000H
02432705-0806331|02432706-0806335|  9316|  2|  9225| 48|C |20112MRS.CTIO.0000H
02444546-0809504|02444541-0809509|  8979|  3|  8970| 40|C |20112MRS.CTIO.0000H
03005158+0048268|03005154+0048265| 13045|  3| 13075| 26|F |20112MRS.FLWO.0000H
03043660-0002150|03043656-0002146|  6909|  2|  6954| 36|F |20112MRS.FLWO.0000H
03045704+0013005|03045705+0013004|  8665|  3|  8630| 30|F |20112MRS.FLWO.0000H
03115983-0109416|03115987-0109418|  8031|  6|  8093| 43|F |20112MRS.FLWO.0000H
03154700+4045262|03154695+4045259|  5507|  1|  5503| 18|F |20112MRS.FLWO.0000H
03155202+4151262|03155209+4151271|  4632|  2|  4687| 43|F |20112MRS.FLWO.0000H
03170026+4043412|03170024+4043411|  8205|  1|  8211| 20|F |20112MRS.FLWO.0000H
03170749+4052522|03170748+4052523|  6583|  1|  6597| 29|F |20112MRS.FLWO.0000H
03194584+4158352|03194585+4158351|  4804|  1|  4869| 31|F |20112MRS.FLWO.0000H
03195440+4200526|03195435+4200528|  4667|  2|  4675| 34|F |20112MRS.FLWO.0000H
03202512+4232497|03202511+4232496|  3986|  1|  4025| 27|F |20112MRS.FLWO.0000H
03210025+4208327|03210023+4208321|  5564|  1|  5509| 34|F |20112MRS.FLWO.0000H
03213424+4043200|03213424+4043205|  4299|  1|  4289| 36|F |20112MRS.FLWO.0000H
03215149+4147500|03215148+4147501|  5804|  2|  5847| 26|F |20112MRS.FLWO.0000H
