# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": SDSS DR8 redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald).
#
#2MASS_ID        SDSS_ID          SDSS_V ERR 2MRS_V ERR CD 2MRS_BIBCODE
08044229+1546329|08044230+1546326|  8778|  3|  8779| 20|F |20112MRS.FLWO.0000H
10250665+1224532|10250665+1224529|  9955|  3|  9956| 32|F |20112MRS.FLWO.0000H
11121225+1939402|11121227+1939403|  7897|  2|  7897| 16|F |20112MRS.FLWO.0000H
11402775+1203085|11402774+1203082| 24328|  4| 24329| 39|F |20112MRS.FLWO.0000H
11435725+1529108|11435726+1529114| 20048|  5| 20049| 42|F |20112MRS.FLWO.0000H
11583111+2203495|11583108+2203489| 12788|  3| 12788| 27|F |20112MRS.FLWO.0000H
12003072+0947006|12003067+0947003| 20642|  8| 20642| 28|F |20112MRS.FLWO.0000H
12311455+2305223|12311452+2305224| 22523|  3| 22523| 27|F |20112MRS.FLWO.0000H
12341001+2012406|12341004+2012402|  9284|  2|  9284| 41|F |20112MRS.FLWO.0000H
12393883+1225081|12393886+1225079| 12310|  3| 12311| 34|F |20112MRS.FLWO.0000H
12564955+0149569|12564953+0149565| 18284|  3| 18285| 35|F |20112MRS.FLWO.0000H
12592623+1420297|12592622+1420300| 14113|  3| 14114| 27|F |20112MRS.FLWO.0000H
12592780+2949128|12592783+2949129| 13348|  3| 13349| 26|F |20112MRS.FLWO.0000H
13194732+0732569|13194733+0732574| 12085|  3| 12086| 38|F |20112MRS.FLWO.0000H
14013130+2027009|14013127+2027008| 16730|  3| 16730| 33|F |20112MRS.FLWO.0000H
14105579+1910226|14105577+1910224| 16560|  3| 16560| 36|F |20112MRS.FLWO.0000H
14303256+1401277|14303255+1401279|  5143|  3|  5144| 15|F |20112MRS.FLWO.0000H
14441355+1523085|14441357+1523085| 15469|  3| 15469| 24|F |20112MRS.FLWO.0000H
14482434+1831091|14482433+1831094| 11506|  3| 11506| 32|F |20112MRS.FLWO.0000H
14573818+0839448|14573819+0839448| 11144|  2| 11144| 40|F |20112MRS.FLWO.0000H
15471124+2253283|15471127+2253288| 12438|  3| 12438| 26|F |20112MRS.FLWO.0000H
16534097+1943278|16534099+1943282| 16037|  4| 16038| 30|F |20112MRS.FLWO.0000H
00591534+1334327|00591531+1334333| 12099|  3| 12101| 33|F |20112MRS.FLWO.0000H
08232025+1832065|08232029+1832067| 11457|  1| 11459| 15|F |20112MRS.FLWO.0000H
08565360+1509312|08565361+1509312| 28409|  6| 28408| 37|F |20112MRS.FLWO.0000H
08585125+1714067|08585124+1714067| 15942|  3| 15944| 17|F |20112MRS.FLWO.0000H
09363459+2113577|09363463+2113578| 10274|  2| 10273| 25|F |20112MRS.FLWO.0000H
09394385+6557476|09394386+6557474| 21851|  4| 21850| 47|F |20112MRS.FLWO.0000H
10213718+1406140|10213715+1406138|  9643|  2|  9642| 38|F |20112MRS.FLWO.0000H
10463314+1605046|10463312+1605042| 19601|  2| 19600| 24|F |20112MRS.FLWO.0000H
11032040+0730463|11032041+0730460| 21412|  4| 21414| 31|F |20112MRS.FLWO.0000H
12020837+1741242|12020836+1741249|  6558|  2|  6560| 27|F |20112MRS.FLWO.0000H
12061906+1054103|12061910+1054102|  9894|  3|  9896| 21|F |20112MRS.FLWO.0000H
12144250+1259253|12144249+1259247| 17368|  4| 17370| 49|F |20112MRS.FLWO.0000H
12213525+1558597|12213528+1558599|  9995|  4|  9994| 21|F |20112MRS.FLWO.0000H
12263288+1632130|12263287+1632134| 13622|  3| 13624| 20|F |20112MRS.FLWO.0000H
12552010+1251006|12552008+1251007| 18625| 10| 18627| 26|F |20112MRS.FLWO.0000H
13334917+2113424|13334917+2113425|  5636|  3|  5635| 19|F |20112MRS.FLWO.0000H
14142619+1237262|14142623+1237264| 12039|  5| 12038| 48|F |20112MRS.FLWO.0000H
15084674+2004468|15084673+2004468| 12461|  2| 12463| 35|F |20112MRS.FLWO.0000H
16225730+2353359|16225728+2353360| 18808|  4| 18807| 41|F |20112MRS.FLWO.0000H
16272660+2208213|16272665+2208218| 17798|  4| 17800| 26|F |20112MRS.FLWO.0000H
23014658+1332186|23014658+1332188| 10221|  3| 10223| 29|F |20112MRS.FLWO.0000H
23262185+1412300|23262183+1412301| 12896|  3| 12895| 26|F |20112MRS.FLWO.0000H
08105866+2015504|08105869+2015506| 20453|  2| 20456| 25|F |20112MRS.FLWO.0000H
09331834+6730225|09331824+6730224|  7020|  3|  7018| 29|F |20112MRS.FLWO.0000H
11000593+1546285|11000595+1546285| 27014|  4| 27017| 35|F |20112MRS.FLWO.0000H
11110671+0734599|11110673+0734598| 14344|  2| 14342| 32|F |20112MRS.FLWO.0000H
11523307+0806040|11523308+0806043| 24488|  4| 24486| 34|F |20112MRS.FLWO.0000H
12002807+0936566|12002805+0936562| 17094|  3| 17092| 29|F |20112MRS.FLWO.0000H
12140064+1411384|12140068+1411383| 15256|  4| 15254| 30|F |20112MRS.FLWO.0000H
12304846+2307435|12304844+2307436| 16951|  3| 16949| 24|F |20112MRS.FLWO.0000H
12311423+2329153|12311421+2329154| 17436|  3| 17439| 28|F |20112MRS.FLWO.0000H
12333375+1821422|12333374+1821424| 21092|  4| 21095| 34|F |20112MRS.FLWO.0000H
12521953+1321296|12521954+1321292| 25275|  5| 25273| 36|F |20112MRS.FLWO.0000H
13592357+1449195|13592358+1449195| 15605|  3| 15603| 29|F |20112MRS.FLWO.0000H
16035201+2326564|16035205+2326557|  9173|  3|  9176| 31|F |20112MRS.FLWO.0000H
16384734+1218461|16384737+1218466| 18961|  3| 18964| 34|F |20112MRS.FLWO.0000H
08572096+1642503|08572095+1642510| 27230|  4| 27227| 26|F |20112MRS.FLWO.0000H
09523193+2033169|09523193+2033175| 20902|  4| 20906| 43|F |20112MRS.FLWO.0000H
10123210+2000040|10123210+2000037|  8567|  2|  8564| 16|F |20112MRS.FLWO.0000H
10215524+2059377|10215523+2059380| 12276|  2| 12280| 25|F |20112MRS.FLWO.0000H
10222478+1537416|10222462+1537405| 13188|  5| 13192| 29|F |20112MRS.FLWO.0000H
10272070+1831520|10272068+1831515|  7982|  2|  7979| 32|F |20112MRS.FLWO.0000H
10452805+1416238|10452806+1416237| 10050|  2| 10047| 26|F |20112MRS.FLWO.0000H
11110410+1923107|11110409+1923105|  7728|  2|  7725| 36|F |20112MRS.FLWO.0000H
11110560+2629454|11110556+2629457| 12575|  4| 12579| 38|F |20112MRS.FLWO.0000H
11143084+1153122|11143082+1153124| 11572|  2| 11576| 25|F |20112MRS.FLWO.0000H
11411853+1536105|11411856+1536106| 21104|  3| 21101| 39|F |20112MRS.FLWO.0000H
12001659+0655416|12001660+0655417| 10856|  5| 10853| 25|F |20112MRS.FLWO.0000H
12040879+1321166|12040882+1321170| 22861|  2| 22865| 20|F |20112MRS.FLWO.0000H
12051655+2100368|12051657+2100372| 22386|  3| 22390| 39|F |20112MRS.FLWO.0000H
12175642+2155403|12175639+2155400| 15394|  3| 15398| 30|F |20112MRS.FLWO.0000H
12250327+0922234|12250326+0922230|  6826|  2|  6830| 23|F |20112MRS.FLWO.0000H
12253262+0738591|12253264+0738594| 11353|  3| 11350| 18|F |20112MRS.FLWO.0000H
13061173+0911509|13061172+0911508| 16412|  3| 16409| 31|F |20112MRS.FLWO.0000H
13235694+1524492|13235691+1524491| 21342|  4| 21346| 35|F |20112MRS.FLWO.0000H
13532371+2302553|13532367+2302553| 15964|  3| 15961| 31|F |20112MRS.FLWO.0000H
14133660+1211582|14133663+1211576| 17218|  3| 17222| 16|F |20112MRS.FLWO.0000H
14352715+2101146|14352713+2101142| 15780|  3| 15784| 38|F |20112MRS.FLWO.0000H
08020738+1623263|08020741+1623263|  8948|  3|  8944| 22|F |20112MRS.FLWO.0000H
08255617+1751400|08255614+1751395| 27126|  5| 27122| 46|F |20112MRS.FLWO.0000H
08415173+1026367|08415171+1026371| 13800|  2| 13796| 25|F |20112MRS.FLWO.0000H
08493639+0908220|08493641+0908225| 19306|  4| 19311| 31|F |20112MRS.FLWO.0000H
10110772+1604457|10110773+1604457| 43003|  7| 43008| 35|F |20112MRS.FLWO.0000H
10155047+2039029|10155049+2039027| 16100|  3| 16105| 25|F |20112MRS.FLWO.0000H
10211765+2349200|10211765+2349200| 11981|  3| 11986| 35|F |20112MRS.FLWO.0000H
10242102+1202483|10242102+1202481| 15984|  2| 15989| 34|F |20112MRS.FLWO.0000H
10250465+1713522|10250464+1713522| 13688|  4| 13684| 19|F |20112MRS.FLWO.0000H
11063022+1308462|11063026+1308457| 13013|  3| 13018| 26|F |20112MRS.FLWO.0000H
11121238+0950004|11121238+0949598| 14072|  2| 14077| 26|F |20112MRS.FLWO.0000H
11132502+1853564|11132506+1853564| 20604|  3| 20600| 29|F |20112MRS.FLWO.0000H
11363406+1059517|11363411+1059513|  7781|  3|  7786| 29|F |20112MRS.FLWO.0000H
11444918+0436262|11444918+0436261| 29562|  5| 29567| 33|F |20112MRS.FLWO.0000H
11581587+0709279|11581584+0709275| 14036|  3| 14041| 41|F |20112MRS.FLWO.0000H
12161862+0529471|12161862+0529470| 34181|  6| 34177| 43|F |20112MRS.FLWO.0000H
12333580+2248042|12333582+2248041| 11100|  2| 11105| 18|F |20112MRS.FLWO.0000H
12580754+2619365|12580754+2619366|  5702|  3|  5698| 28|F |20112MRS.FLWO.0000H
12591108+1030062|12591109+1030060| 13788|  3| 13784| 33|F |20112MRS.FLWO.0000H
13084384+1348248|13084386+1348253| 18200|  2| 18196| 24|F |20112MRS.FLWO.0000H
13150218+3805087|13150220+3805088| 13387|  3| 13392| 30|F |20112MRS.FLWO.0000H
13325059+1809043|13325057+1809039|  7060|  2|  7065| 23|F |20112MRS.FLWO.0000H
13513784+2137329|13513781+2137323|  7937|  2|  7942| 16|F |20112MRS.FLWO.0000H
14375586+2218418|14375588+2218421| 11988|  3| 11984| 28|F |20112MRS.FLWO.0000H
14424504+1455209|14424501+1455212| 15900|  3| 15896| 28|F |20112MRS.FLWO.0000H
17000578+2248303|17000575+2248305| 14654|  1| 14650| 16|F |20112MRS.FLWO.0000H
08023476+4025167|08023476+4025165| 12795|  3| 12801| 17|F |20112MRS.FLWO.0000H
08492622+0956131|08492622+0956136| 35637| 10| 35632| 58|F |20112MRS.FLWO.0000H
08581461+1436194|08581460+1436193| 12062|  4| 12068| 20|F |20112MRS.FLWO.0000H
08584762+1708177|08584772+1708170| 14610|  2| 14616| 15|F |20112MRS.FLWO.0000H
10013246+1420527|10013245+1420525| 23345|  3| 23351| 29|F |20112MRS.FLWO.0000H
10202413+2121229|10202415+2121226|  5736|  2|  5742| 30|F |20112MRS.FLWO.0000H
10204127+1358038|10204125+1358037|  5530|  2|  5525| 22|F |20112MRS.FLWO.0000H
11122933+1949081|11122931+1949085|  7969|  3|  7975| 24|F |20112MRS.FLWO.0000H
12062009+1835255|12062013+1835256| 19987|  4| 19982| 26|F |20112MRS.FLWO.0000H
12091714+2215016|12091715+2215017|  7267|  4|  7262| 33|F |20112MRS.FLWO.0000H
12140140+2300370|12140139+2300371|  7348|  2|  7343| 24|F |20112MRS.FLWO.0000H
13195829+2814490|13195832+2814493|  6805|  2|  6800| 17|F |20112MRS.FLWO.0000H
13534287+3055026|13534289+3055020| 12882|  2| 12877| 26|F |20112MRS.FLWO.0000H
14233194+2017180|14233195+2017179| 14684|  2| 14690| 30|F |20112MRS.FLWO.0000H
14371360+1925192|14371362+1925189|  8954|  2|  8960| 30|F |20112MRS.FLWO.0000H
15143031+0527551|15143029+0527550| 15584|  3| 15590| 22|F |20112MRS.FLWO.0000H
16053017+1404228|16053016+1404227| 34576|  7| 34571| 51|F |20112MRS.FLWO.0000H
09254960+2222093|09254963+2222095|  9655|  2|  9649| 23|F |20112MRS.FLWO.0000H
10031609+2347569|10031609+2347575| 15611|  2| 15618| 33|F |20112MRS.FLWO.0000H
11011820+0917124|11011815+0917120| 10852|  3| 10859| 33|F |20112MRS.FLWO.0000H
11101174+0514339|11101171+0514334| 22759|  2| 22766| 18|F |20112MRS.FLWO.0000H
11183387+2342500|11183385+2342499|  6677|  2|  6684| 25|F |20112MRS.FLWO.0000H
12021505+1301552|12021508+1301548| 18021|  3| 18028| 37|F |20112MRS.FLWO.0000H
12131725+1316404|12131730+1316399| 19246|  4| 19240| 32|F |20112MRS.FLWO.0000H
12240462+1619390|12240460+1619392|  6986|  3|  6980| 22|F |20112MRS.FLWO.0000H
12381180+0313417|12381182+0313423| 25435|  5| 25442| 28|F |20112MRS.FLWO.0000H
12381616+1534110|12381615+1534112| 13835|  3| 13842| 28|F |20112MRS.FLWO.0000H
12571744+1413112|12571741+1413114| 18462|  5| 18456| 31|F |20112MRS.FLWO.0000H
12591183+1509556|12591187+1509555| 18618|  3| 18625| 31|F |20112MRS.FLWO.0000H
13002634+2701416|13002637+2701416| 23416|  4| 23410| 25|F |20112MRS.FLWO.0000H
13033433+0657130|13033436+0657130| 14725|  2| 14719| 33|F |20112MRS.FLWO.0000H
13504648+2311276|13504648+2311280| 16939|  3| 16933| 22|F |20112MRS.FLWO.0000H
15442970+2101224|15442972+2101223| 18303|  4| 18297| 37|F |20112MRS.FLWO.0000H
15573304+1959438|15573302+1959436| 10520|  2| 10514| 28|F |20112MRS.FLWO.0000H
16053229+1956048|16053232+1956047| 10479|  3| 10486| 19|F |20112MRS.FLWO.0000H
16543802+2405403|16543799+2405397| 10742|  3| 10749| 25|F |20112MRS.FLWO.0000H
17002726+2034321|17002729+2034321| 15031|  4| 15038| 26|F |20112MRS.FLWO.0000H
01512225+1303373|01512226+1303372| 19233|  3| 19241| 54|F |20112MRS.FLWO.0000H
08025975+1508281|08025974+1508276| 11764|  2| 11772| 25|F |20112MRS.FLWO.0000H
08344727+1340022|08344726+1340028| 22859|  4| 22852| 38|F |20112MRS.FLWO.0000H
08494539+0927189|08494538+0927185| 23670|  8| 23678| 38|F |20112MRS.FLWO.0000H
08581632+1720454|08581634+1720458| 22556|  4| 22564| 33|F |20112MRS.FLWO.0000H
09475271+2017056|09475273+2017059| 11805|  2| 11813| 29|F |20112MRS.FLWO.0000H
09594861+0831218|09594862+0831219| 14734|  3| 14727| 32|F |20112MRS.FLWO.0000H
10052746+1107151|10052749+1107154|  9347|  4|  9355| 34|F |20112MRS.FLWO.0000H
10221693+1937185|10221691+1937186| 11718|  3| 11726| 34|F |20112MRS.FLWO.0000H
11083381+0251295|11083383+0251294|  9087|  2|  9080| 29|F |20112MRS.FLWO.0000H
11100853+0431589|11100857+0431585|  8772|  3|  8765| 25|F |20112MRS.FLWO.0000H
11302934+0029390|11302932+0029394|  8689|  2|  8697| 30|F |20112MRS.FLWO.0000H
11325673+1554232|11325678+1554233| 11022|  3| 11030| 19|F |20112MRS.FLWO.0000H
11481333+1926528|11481334+1926525|  6774|  2|  6767| 25|F |20112MRS.FLWO.0000H
